# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7909140577         188         35344        1958         184         3.0
     2    -1121.7940744800         621        385641       54913         416        29.9
     3    -1121.7997278389         636        404496       54965         644        38.7
     4    -1121.8003535652         632        399424       54941         842        50.2
     5    -1121.8010602880         627        393129       54957        1040        64.8
     6    -1121.8016043486         614        376996       54912        1227        80.9
     7    -1121.8018982876         629        395641       54943        1394       101.3
     8    -1121.8021368264         634        401956       54859        1567       122.5
     9    -1121.8024102319         612        374544       54929        1727       146.9
    10    -1121.8027170961         628        394384       54885        1890       175.2
    11    -1121.8029653839         640        409600       54912        2038       203.5
    12    -1121.8030953916         642        412164       54956        2170       237.7
    13    -1121.8034626704         612        374544       54968        2296       280.9
    14    -1121.8036670141         605        366025       54912        2429       309.0
    15    -1121.8038317300         610        372100       54955        2557       351.2
    16    -1121.8039407022         607        368449       54943        2695       389.0
    17    -1121.8040864965         612        374544       54906        2816       437.8
    18    -1121.8041480702         627        393129       54903        2929       479.2
    19    -1121.8043061180         639        408321       54929        3045       530.0
    20    -1121.8046015445         625        390625       54916        3159       575.1
    21    -1121.8048855215         633        400689       54951        3263       641.0
    22    -1121.8050036148         625        390625       54902        3369       683.7
    23    -1121.8050397378         611        373321       54885        3470       738.4
    24    -1121.8051026484         661        436921       54867        3578       800.3
    25    -1121.8051482746         621        385641       54931        3673       846.4
    26    -1121.8051835757         640        409600       54927        3756       904.4
    27    -1121.8052386403         632        399424       54871        3859       949.7
    28    -1121.8052861343         625        390625       54956        3964      1000.0
    29    -1121.8053193158         621        385641       54965        4051      1065.6
    30    -1121.8053479584         620        384400       54953        4136      1131.4
    31    -1121.8053840429         643        413449       54908        4225      1186.1
    32    -1121.8054140499         625        390625       54932        4313      1249.7
    33    -1121.8054331015         612        374544       54919        4387      1317.6
    34    -1121.8054546026         628        394384       54907        4461      1362.8
    35    -1121.8054760102         635        403225       54927        4545      1429.8
    36    -1121.8055110925         641        410881       54925        4634      1488.5
    37    -1121.8055336826         634        401956       54918        4711      1564.1
    38    -1121.8055556943         614        376996       54905        4780      1617.9
    39    -1121.8055706788         617        380689       54925        4863      1680.4
    40    -1121.8055800606         647        418609       54945        4936      1814.6
    41    -1121.8055903918         629        395641       54970        5002      1870.5
    42    -1121.8056078578         604        364816       54949        5076      1947.4
    43    -1121.8056150279         619        383161       54928        5143      2009.6
    44    -1121.8056443522         595        354025       54932        5191      2078.1
    45    -1121.8056505163         632        399424       54935        5265      2131.3
    46    -1121.8056686671         628        394384       54930        5331      2233.6
    47    -1121.8056811048         623        388129       54960        5405      2324.5
    48    -1121.8057056757         647        418609       54954        5460      2396.2
    49    -1121.8057127109         649        421201       54947        5526      2469.0
    50    -1121.8057196241         639        408321       54944        5594      2570.7
    51    -1121.8057265887         636        404496       54924        5656      2664.1
    52    -1121.8057330301         624        389376       54916        5713      2713.3
    53    -1121.8057381051         632        399424       54926        5772      2836.2
    54    -1121.8057454027         607        368449       54955        2591      2378.8
    55    -1121.8056923320         650        422500       54932        2080       431.8
    56    -1121.8056494428         616        379456       54929        1828       267.1
    57    -1121.8056102629         603        363609       54924        1665       205.1
    58    -1121.8055709022         624        389376       54907        1547       171.5
    59    -1121.8055362298         653        426409       54898        1459       149.3
    60    -1121.8055200516         643        413449       54954        1395       135.1
    61    -1121.8054907556         636        404496       54935        1340       122.9
    62    -1121.8054616466         612        374544       54936        1297       115.2
    63    -1121.8054322645         637        405769       54906        1255       106.2
    64    -1121.8054115746         637        405769       54938        1439       100.4
    65    -1121.8054360400         663        439569       54896        1612       122.4
    66    -1121.8054606574         664        440896       54942        1803       143.5
    67    -1121.8054767005         620        384400       54974        1944       166.8
    68    -1121.8054991842         640        409600       54922        2107       190.4
    69    -1121.8055205893         667        444889       54911        2259       221.7
    70    -1121.8055341445         610        372100       54934        2397       249.7
    71    -1121.8055519986         615        378225       54918        2558       283.5
    72    -1121.8055683226         620        384400       54938        2696       320.3
    73    -1121.8055826419         641        410881       54931        2830       356.6
    74    -1121.8055950214         656        430336       54961        2949       394.5
    75    -1121.8056069011         622        386884       54934        3072       428.4
    76    -1121.8056175627         641        410881       54912        3179       467.0
    77    -1121.8056319737         642        412164       54912        3307       513.5
    78    -1121.8056424239         644        414736       54973        3416       557.6
    79    -1121.8056510569         629        395641       54954        3505       594.5
    80    -1121.8056606687         619        383161       54920        3604       644.4
    81    -1121.8056693438         626        391876       54960        3706       691.7
    82    -1121.8056763961         665        442225       54938        3806       742.1
    83    -1121.8056837356         640        409600       54926        3906       793.7
    84    -1121.8056926104         624        389376       54929        4001       843.4
    85    -1121.8057010950         622        386884       54916        4085       890.0
    86    -1121.8057065167         632        399424       54952        4183       931.7
    87    -1121.8057132609         611        373321       54906        4269       992.5
    88    -1121.8057196882         617        380689       54935        4356      1047.3
    89    -1121.8057252465         641        410881       54952        4442      1091.3
    90    -1121.8057331124         657        431649       54937        4546      1153.6
    91    -1121.8057379455         642        412164       54943        4621      1186.2
    92    -1121.8057445015         644        414736       54951        4706      1253.7
    93    -1121.8057480556         598        357604       54968        4758      1297.3
