# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7931132103         191         36481        2613         189         3.0
     2    -1121.7980010993         554        306916       56946         393        32.8
     3    -1121.7988040042         551        303601       57017         568        39.2
     4    -1121.8000021960         555        308025       57000         736        46.1
     5    -1121.8005224271         526        276676       57046         893        55.5
     6    -1121.8009419820         557        310249       56979        1053        68.3
     7    -1121.8013213737         543        294849       57015        1180        82.3
     8    -1121.8016080134         571        326041       56960        1344        94.6
     9    -1121.8019658633         572        327184       56979        1493       114.9
    10    -1121.8023255880         537        288369       56938        1624       133.8
    11    -1121.8024685670         553        305809       57011        1749       153.7
    12    -1121.8027201876         540        291600       56936        1876       175.1
    13    -1121.8029465942         569        323761       57019        1992       198.0
    14    -1121.8031121378         528        278784       56983        2106       221.2
    15    -1121.8034785642         569        323761       56957        2225       262.0
    16    -1121.8036420291         552        304704       57012        2339       284.0
    17    -1121.8037747390         558        311364       57012        2459       315.3
    18    -1121.8039115964         556        309136       57043        2571       355.3
    19    -1121.8039918121         560        313600       56995        2687       388.9
    20    -1121.8043115746         562        315844       56946        2797       420.3
    21    -1121.8044346330         535        286225       57019        2890       457.3
    22    -1121.8046035225         525        275625       57001        2983       500.5
    23    -1121.8046837669         552        304704       57010        3067       535.9
    24    -1121.8048641882         552        304704       57009        3157       593.2
    25    -1121.8049119059         566        320356       57015        3259       630.1
    26    -1121.8049815531         555        308025       56970        3365       667.7
    27    -1121.8050276341         537        288369       56916        3450       723.3
    28    -1121.8050760578         537        288369       57001        3530       768.3
    29    -1121.8051562543         569        323761       56990        3613       806.2
    30    -1121.8051779414         573        328329       57013        3712       855.0
    31    -1121.8052266146         546        298116       57001        3796       905.9
    32    -1121.8052522619         564        318096       57029        3884       952.2
    33    -1121.8052698597         565        319225       56963        3938      1000.0
    34    -1121.8052982465         551        303601       56965        4009      1038.6
    35    -1121.8053176695         517        267289       57019        4076      1078.7
    36    -1121.8053515949         585        342225       56985        4148      1128.5
    37    -1121.8053888539         563        316969       57009        4224      1168.6
    38    -1121.8054226196         574        329476       56964        4303      1235.4
    39    -1121.8054333349         541        292681       57007        4370      1276.6
    40    -1121.8054471999         547        299209       56913        4435      1321.1
    41    -1121.8055085071         526        276676       56985        4492      1370.6
    42    -1121.8055245621         572        327184       56964        4571      1421.5
    43    -1121.8055326079         509        259081       57001        4628      1463.7
    44    -1121.8055651556         543        294849       57001        4690      1507.3
    45    -1121.8055934991         537        288369       57008        4764      1595.6
    46    -1121.8056074687         585        342225       56983        4837      1662.4
    47    -1121.8056152582         526        276676       57007        4886      1731.8
    48    -1121.8056271738         540        291600       56989        4950      1788.0
    49    -1121.8056473190         531        281961       57009        5007      1845.9
    50    -1121.8056616811         539        290521       56970        5069      1895.7
    51    -1121.8056701387         583        339889       56973        5143      1980.1
    52    -1121.8056768515         553        305809       57003        5209      2029.6
    53    -1121.8057101262         535        286225       56970        5269      2102.5
    54    -1121.8057170189         568        322624       56977        5322      2208.4
