# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7945964744         253         64009        3415         230         3.5
     2    -1121.7982780886         494        244036      100548         473        50.1
     3    -1121.7997097040         505        255025      100389         666        58.1
     4    -1121.8007821672         503        253009      100489         865        68.6
     5    -1121.8016362799         504        254016      100586        1048        83.3
     6    -1121.8021303496         512        262144      100495        1205        97.9
     7    -1121.8026056655         498        248004      100444        1347       113.6
     8    -1121.8028618241         495        245025      100543        1488       129.3
     9    -1121.8032847303         522        272484      100469        1626       153.9
    10    -1121.8034924726         496        246016      100387        1755       180.7
    11    -1121.8038819134         518        268324      100565        1884       205.0
    12    -1121.8040370115         523        273529      100510        2012       231.0
    13    -1121.8041466893         520        270400      100536        2115       256.3
    14    -1121.8042636625         479        229441      100459        2214       277.9
    15    -1121.8043730029         523        273529      100490        2310       304.5
    16    -1121.8045279314         526        276676      100529        2410       329.5
    17    -1121.8046069120         499        249001      100550        2493       360.1
    18    -1121.8046706712         512        262144      100469        2581       388.7
    19    -1121.8047586823         508        258064      100489        2691       421.2
    20    -1121.8048172190         510        260100      100494        2783       462.0
    21    -1121.8048790232         510        260100      100400        2858       490.4
    22    -1121.8049129790         522        272484      100439        2950       525.0
    23    -1121.8049664538         483        233289      100464        3027       554.4
    24    -1121.8050001234         524        274576      100538        3091       589.5
    25    -1121.8050526022         508        258064      100612        3176       620.3
    26    -1121.8051004937         501        251001      100587        3231       651.0
    27    -1121.8051581928         502        252004      100463        3297       682.5
    28    -1121.8052024432         513        263169      100522        3375       710.3
    29    -1121.8052286767         511        261121      100477        3442       747.4
    30    -1121.8052566277         499        249001      100526        3517       785.3
    31    -1121.8052968693         508        258064      100496        3572       825.2
    32    -1121.8053211952         501        251001      100536        3644       851.1
    33    -1121.8053378136         533        284089      100536        3719       895.3
    34    -1121.8053550911         520        270400      100468        3793       934.1
    35    -1121.8054059307         525        275625      100456        3853       977.1
    36    -1121.8054290036         510        260100      100527        3923      1013.7
    37    -1121.8054494431         506        256036      100431        3986      1056.5
    38    -1121.8054625100         491        241081      100465        4042      1092.0
    39    -1121.8054748753         524        274576      100393        4106      1128.1
    40    -1121.8054905104         528        278784      100528        4157      1172.4
    41    -1121.8054975905         499        249001      100496        4221      1208.0
    42    -1121.8055093317         491        241081      100460        4274      1240.9
    43    -1121.8055235902         518        268324      100474        4334      1279.7
    44    -1121.8055391879         504        254016      100468        4387      1326.6
    45    -1121.8055850690         509        259081      100478        4443      1366.3
    46    -1121.8055932336         535        286225      100460        4501      1411.6
    47    -1121.8056063627         499        249001      100532        4546      1456.0
    48    -1121.8056098092         507        257049      100514        4601      1484.7
    49    -1121.8056243595         538        289444      100491        4649      1554.5
    50    -1121.8056364875         521        271441      100505        4704      1628.0
