# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7920667376         312         97344        4183         269         4.2
     2    -1121.7997079692         500        250000      143945         543        69.1
     3    -1121.8004537763         512        262144      143837         764        79.8
     4    -1121.8011081471         512        262144      143872         963        92.0
     5    -1121.8015970688         491        241081      143814        1145       109.4
     6    -1121.8020502681         508        258064      143869        1315       127.1
     7    -1121.8024193452         499        249001      143875        1461       144.0
     8    -1121.8026358805         509        259081      143841        1590       164.7
     9    -1121.8031624429         489        239121      143943        1717       191.3
    10    -1121.8033000951         485        235225      143933        1836       213.7
    11    -1121.8036481765         499        249001      143935        1951       237.4
    12    -1121.8038069501         537        288369      143972        2070       264.7
    13    -1121.8040062728         520        270400      144051        2195       292.1
    14    -1121.8040989407         509        259081      143870        2282       320.7
    15    -1121.8042005260         494        244036      143709        2369       338.2
    16    -1121.8043899599         515        265225      143971        2476       368.6
    17    -1121.8045482936         508        258064      143787        2577       406.5
    18    -1121.8046389622         502        252004      143852        2667       445.8
    19    -1121.8046906325         504        254016      143912        2743       472.2
    20    -1121.8048160980         505        255025      143839        2820       502.5
    21    -1121.8049370303         534        285156      144019        2901       537.8
    22    -1121.8050145333         519        269361      143879        2969       565.7
    23    -1121.8050434202         515        265225      143879        3047       592.8
    24    -1121.8050887316         496        246016      143780        3123       626.6
    25    -1121.8051102658         485        235225      143934        3183       653.0
    26    -1121.8051405546         525        275625      143981        3254       683.6
    27    -1121.8051572296         507        257049      143835        3329       720.4
    28    -1121.8051722796         492        242064      143877        3412       756.3
    29    -1121.8051923673         491        241081      143850        3469       796.1
    30    -1121.8052531381         496        246016      143817        3528       826.9
    31    -1121.8052646455         486        236196      143864        3596       852.4
    32    -1121.8053864036         498        248004      143918        3648       886.6
    33    -1121.8054187346         506        256036      143834        3714       925.2
    34    -1121.8054286074         501        251001      143892        3775       958.7
    35    -1121.8054384732         525        275625      143993        3823       996.2
    36    -1121.8054606765         523        273529      143965        3888      1025.3
    37    -1121.8054830659         498        248004      143931        3947      1061.6
    38    -1121.8055114947         524        274576      143865        4018      1143.6
    39    -1121.8055172456         488        238144      143922        4062      1178.4
    40    -1121.8055310997         508        258064      143892        4118      1209.1
    41    -1121.8055471019         491        241081      143839        4166      1244.3
    42    -1121.8055631092         505        255025      143850        4224      1284.2
    43    -1121.8055708814         488        238144      143828        4258      1316.8
    44    -1121.8055854057         519        269361      143945        4303      1337.0
    45    -1121.8055998861         505        255025      143812        4354      1383.5
    46    -1121.8056069009         505        255025      143886        4407      1421.1
    47    -1121.8056159526         501        251001      143948        4458      1454.2
    48    -1121.8056207801         483        233289      144033        4507      1500.7
    49    -1121.8056282170         497        247009      143894        4563      1538.0
    50    -1121.8056358232         534        285156      143919        4620      1588.6
    51    -1121.8056430662         505        255025      143776        4666      1628.0
    52    -1121.8056501623         506        256036      143925        4711      1675.3
    53    -1121.8056586739         510        260100      144027        4754      1708.6
    54    -1121.8056737974         504        254016      143998        4793      1747.2
    55    -1121.8056773783         501        251001      143911        4831      1785.4
    56    -1121.8056827258         478        228484      143799        4871      1826.5
    57    -1121.8056861125         529        279841      143817        4922      1867.1
    58    -1121.8056895720         513        263169      143933        4967      1912.0
    59    -1121.8056954848         499        249001      143863        5008      1956.3
