# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7935249051         401        160801        5134         296         5.4
     2    -1121.7978488649         567        321489      221758         580        88.0
     3    -1121.7998228037         566        320356      221633         831       100.5
     4    -1121.8007546746         552        304704      221767        1052       118.7
     5    -1121.8016146693         541        292681      221839        1244       136.7
     6    -1121.8020198119         530        280900      221735        1440       157.9
     7    -1121.8025146015         563        316969      221854        1610       183.0
     8    -1121.8031502199         581        337561      221845        1775       210.7
     9    -1121.8035172223         550        302500      221780        1932       244.7
    10    -1121.8038815251         563        316969      221816        2063       280.4
    11    -1121.8040871747         569        323761      221914        2177       309.7
    12    -1121.8041925355         533        284089      221890        2295       339.1
    13    -1121.8043118323         562        315844      221868        2412       371.3
    14    -1121.8043955462         533        284089      221766        2513       407.5
    15    -1121.8044859667         542        293764      221797        2615       433.7
    16    -1121.8045432199         576        331776      221759        2740       472.9
    17    -1121.8046113802         547        299209      221879        2827       514.4
    18    -1121.8046841639         558        311364      221780        2918       547.1
    19    -1121.8047313822         525        275625      221777        3001       571.9
    20    -1121.8048389508         543        294849      221874        3104       624.8
    21    -1121.8049033966         549        301401      221705        3193       674.2
    22    -1121.8049927073         559        312481      221845        3276       721.2
    23    -1121.8050796191         548        300304      221745        3356       754.6
    24    -1121.8051081460         537        288369      221872        3423       791.1
    25    -1121.8051414822         558        311364      221813        3502       827.6
    26    -1121.8051860158         555        308025      221820        3576       869.5
    27    -1121.8052014865         529        279841      221728        3635       910.4
    28    -1121.8052336251         538        289444      221876        3702       934.7
    29    -1121.8052607055         567        321489      221747        3761       980.2
    30    -1121.8052981177         553        305809      221835        3824      1015.0
    31    -1121.8053350752         558        311364      221703        3887      1052.1
    32    -1121.8053490575         547        299209      221872        3946      1084.3
    33    -1121.8053596312         561        314721      221830        4016      1127.3
    34    -1121.8053966931         564        318096      221646        4081      1174.1
    35    -1121.8054141778         563        316969      221725        4155      1226.1
    36    -1121.8054211775         532        283024      222007        4218      1270.4
    37    -1121.8054427834         538        289444      221828        4277      1312.4
    38    -1121.8054529665         561        314721      221733        4332      1353.4
    39    -1121.8054774970         542        293764      221834        4384      1414.2
    40    -1121.8055178859         565        319225      221729        4432      1449.0
    41    -1121.8055591053         572        327184      221764        4502      1527.4
    42    -1121.8055720098         563        316969      221726        4557      1561.6
    43    -1121.8055811041         560        313600      221836        4608      1605.4
    44    -1121.8055866331         580        336400      221828        4659      1665.1
    45    -1121.8055936250         542        293764      221805        4702      1695.5
    46    -1121.8056048975         553        305809      221869        4754      1742.2
    47    -1121.8056161877         549        301401      221830        4798      1787.1
    48    -1121.8056229959         566        320356      221808        4849      1813.1
    49    -1121.8056384532         540        291600      221814        4900      1877.4
    50    -1121.8056580452         564        318096      221777        4942      1929.4
    51    -1121.8056638101         555        308025      221887        4975      1956.1
    52    -1121.8056870386         551        303601      221793        5029      2004.1
    53    -1121.8056913407         554        306916      221855        5080      2055.6
    54    -1121.8056966703         557        310249      221820        5117      2113.8
    55    -1121.8057047174         542        293764      222109        5159      2159.0
    56    -1121.8057095175         562        315844      221933        5212      2223.2
    57    -1121.8057151301         542        293764      221738        5244      2256.4
    58    -1121.8057175212         550        302500      221958        2448      1914.9
    59    -1121.8056682988         556        309136      222150        1999       407.6
    60    -1121.8056262627         570        324900      221817        1776       294.7
    61    -1121.8055859106         553        305809      221921        1624       240.6
    62    -1121.8055515498         534        285156      221775        1513       210.7
    63    -1121.8055184072         563        316969      221672        1436       191.4
    64    -1121.8054918038         565        319225      221954        1378       181.9
    65    -1121.8054651474         572        327184      221854        1330       173.6
    66    -1121.8054424578         565        319225      222013        1291       164.1
    67    -1121.8054223088         571        326041      221729        1255       159.1
    68    -1121.8054063702         574        329476      221807        1233       154.3
    69    -1121.8053900722         565        319225      221781        1423       150.4
    70    -1121.8054196063         551        303601      221746        1585       170.7
    71    -1121.8054435361         529        279841      221756        1741       191.4
    72    -1121.8054620195         572        327184      221934        1884       214.1
    73    -1121.8054818919         561        314721      221946        2024       234.4
    74    -1121.8055075005         547        299209      221810        2143       261.1
    75    -1121.8055226756         541        292681      221718        2254       283.2
    76    -1121.8055346317         540        291600      221840        2354       302.1
    77    -1121.8055503727         539        290521      221779        2456       328.2
    78    -1121.8055619593         557        310249      221826        2566       353.4
    79    -1121.8055762462         555        308025      221787        2678       383.7
    80    -1121.8055874620         551        303601      221693        2764       407.9
    81    -1121.8055983063         559        312481      221767        2859       432.8
    82    -1121.8056097687         579        335241      221708        2966       463.1
    83    -1121.8056196348         568        322624      221952        3064       498.1
    84    -1121.8056310577         568        322624      221738        3164       532.8
    85    -1121.8056379047         516        266256      221949        3240       561.1
    86    -1121.8056449364         559        312481      221823        3323       593.9
    87    -1121.8056526636         505        255025      221509        3397       616.7
    88    -1121.8056597969         537        288369      221762        3467       646.8
    89    -1121.8056661377         566        320356      221742        3552       680.9
    90    -1121.8056702902         533        284089      221752        3613       727.8
    91    -1121.8056762575         560        313600      221948        3693       772.5
    92    -1121.8056840133         564        318096      221955        3759       809.0
    93    -1121.8056894096         573        328329      221913        3831       837.8
    94    -1121.8056938169         542        293764      221885        3894       873.4
    95    -1121.8056990675         581        337561      221868        3964       917.0
    96    -1121.8057038529         571        326041      221875        4028       951.4
    97    -1121.8057072600         552        304704      221753        4084       978.8
    98    -1121.8057119804         568        322624      221847        4152       938.7
    99    -1121.8057161881         541        292681      221911        4214       973.6
   100    -1121.8057226857         578        334084      221744        4277      1019.0
   101    -1121.8057263233         558        311364      221682        4336      1054.4
   102    -1121.8057325047         533        284089      221970        4380      1087.6
   103    -1121.8057362095         557        310249      221869        4434      1116.1
   104    -1121.8057402992         572        327184      221846        4503      1149.8
   105    -1121.8057441834         562        315844      221876        4557      1196.2
   106    -1121.8057479258         521        271441      221825        4613      1226.0
   107    -1121.8057509996         528        278784      221874        4664      1272.7
   108    -1121.8057555413         540        291600      221875        4723      1310.1
   109    -1121.8057596070         558        311364      221743        4776      1343.2
   110    -1121.8057644426         566        320356      221943        4828      1389.1
   111    -1121.8057682903         588        345744      221819        4880      1431.6
   112    -1121.8057702332         537        288369      221944        4920      1478.2
   113    -1121.8057736401         575        330625      221964        4959      1517.4
   114    -1121.8057757758         566        320356      221868        5003      1534.9
   115    -1121.8057816870         554        306916      221720        5043      1578.2
   116    -1121.8057844171         571        326041      221988        5087      1619.6
   117    -1121.8057876237         550        302500      221776        5136      1666.6
   118    -1121.8057902343         535        286225      221764        5174      1722.2
   119    -1121.8057946303         554        306916      221794        5214      1756.1
   120    -1121.8057968085         562        315844      221887        5261      1802.5
   121    -1121.8057991380         547        299209      221616        5298      1837.6
   122    -1121.8058032690         527        277729      221919        5340      1899.4
   123    -1121.8058055974         539        290521      221849        5381      1933.4
   124    -1121.8058092130         547        299209      221846        5427      1987.0
   125    -1121.8058117979         587        344569      221730        5466      2052.9
   126    -1121.8058139556         555        308025      221777        5497      2078.0
   127    -1121.8058168147         548        300304      221809        5541      2137.4
   128    -1121.8058181464         569        323761      221889        5585      2196.3
   129    -1121.8058200521         560        313600      221771        5607      2245.6
   130    -1121.8058214086         562        315844      221670        5635      2253.0
   131    -1121.8058238590         558        311364      221801        5669      2311.5
