!basis                         scf               mp2              ccsd           ccsd(t)
6-311g                  -76.009361        -76.165623        -76.171698        -76.174507
6-311gs                 -76.031517        -76.253520        -76.261841        -76.265575
6-311gss                -76.046409        -76.282797        -76.290469        -76.295284
6-311pgss               -76.052687        -76.293702        -76.300239        -76.305635
6-311ppgss              -76.052806        -76.293928        -76.300464        -76.305878
6-31g                   -75.983974        -76.112825        -76.119354        -76.120350
aug-cc-pvdz             -76.041394        -76.263273        -76.270787        -76.276024
cc-pvdz                 -76.026772        -76.230776        -76.240099        -76.243158
cc-pvtz                 -76.057127        -76.332244        -76.337994        -76.345768
sto-3g                  -74.963023        -74.998569        -75.012462        -75.012529
